Changelog Title,Slug,Release Date,Audiences,Main Image,Excerpt,Description,Meta Title,Meta Description,_source_url
Adfin Autopilot for smarter credit control,adfin-autopilot-for-smarter-credit-control,2025-10-08T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/68e55a41f3657e538ad8740f_Screenshot%202025-10-07%20at%2019.21.44.png,"<p id="""">Say hello to smarter, hands-off credit control 🚀</p><p id="""">‍</p><p id=""""><strong id="""">🤖 </strong>Autopilot is an end-to-end agentic AI chasing tool. Autopilot can take your existing chasing message templates, adapt them to the relevant context, and send them: automatically.</p><p id="""">‍</p><p id="""">Adfin now supports connecting to your own email domain, so chasers can come from your email address. More personal chasing = faster payment 📧&nbsp;</p><p id="""">‍</p>","<p id="""">Say hello to smarter, hands-off credit control 🚀</p><p id="""">‍</p><p id=""""><strong id="""">🤖 </strong>Autopilot is an end-to-end agentic AI chasing tool. Autopilot can take your existing chasing message templates, adapt them to the relevant context, and send them: automatically.</p><p id="""">‍</p><p id="""">Adfin now supports connecting to your own email domain, so chasers can come from your email address. More personal chasing = faster payment 📧&nbsp;</p><p id="""">‍</p>",,,https://adfin.com/changelog/adfin-autopilot-for-smarter-credit-control
An upgraded look for your direct debit mandate page,an-upgraded-look-for-your-direct-debit-mandate-page,2025-09-23T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/68e54fbee35ed39476e235da_Screenshot%202025-10-07%20at%2018.36.54.png,"<p id="""">We’ve refreshed the direct debit page to put your brand front and centre 🎨. It’s cleaner, more modern, and easier for your clients to complete their mandates 💪</p><p id="""">‍</p><p id="""">Better experiences for them, smoother payments for you 💷</p><p id="""">‍</p>","<p id="""">We’ve refreshed the direct debit page to put your brand front and centre 🎨. It’s cleaner, more modern, and easier for your clients to complete their mandates 💪</p><p id="""">‍</p><p id="""">Better experiences for them, smoother payments for you 💷</p><p id="""">‍</p>",,,https://adfin.com/changelog/an-upgraded-look-for-your-direct-debit-mandate-page
Customise your layouts and save views,customise-your-layouts-and-save-views,2025-09-15T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/68e5536a78839a730c77c3be_Screenshot%202025-10-07%20at%2018.52.34.png,"<p id="""">Make Adfin work your way 🙌</p><p>‍</p><p id="""">You can now add, remove, and reorder columns, and filter your data more flexibly than ever ✨</p><p>‍</p><p id="""">You can also save sets of filters as views, making it easy for your team to manage activity in Adfin. </p><p>‍</p>","<p id="""">Make Adfin work your way 🙌</p><p>‍</p><p id="""">You can now add, remove, and reorder columns, and filter your data more flexibly than ever ✨</p><p>‍</p><p id="""">You can also save sets of filters as views, making it easy for your team to manage activity in Adfin. </p><p>‍</p>",,,https://adfin.com/changelog/customise-your-layouts-and-save-views
Enhanced direct debit statuses,enhanced-direct-debit-statuses,2024-11-18T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/673b2d8ed3d981cc4a668760_Screenshot%202024-11-18%20at%2012.05.27.png,"<p id="""">We’ve updated direct debit statuses to give you a clearer view of each step and when the last status change took place. </p><p>‍</p><p id="""">‍</p>","<p id="""">We’ve updated direct debit statuses to give you a clearer view of each step. The new statuses are:</p><ul id=""""><li id=""""><strong id="""">No mandate</strong>: A mandate has not yet been sent to the customer, or the previous mandate was cancelled.</li><li id=""""><strong id="""">Awaiting signature</strong>: A mandate has been sent but is pending the customer’s signature.</li><li id=""""><strong id="""">Signed</strong>: The customer has signed the mandate with valid bank details, and we’re awaiting bank confirmation before we can submit a payment (usually 3 days).</li><li id=""""><strong id="""">Active</strong>: The mandate is confirmed and ready to collect payments.</li></ul><p id="""">For a quick overview of specific actions, hover over a status. For example, hovering over “Awaiting signature” will show the date you sent the mandate to the customer.</p><p>‍</p>",,,https://adfin.com/changelog/enhanced-direct-debit-statuses
View and select your default workflow,view-and-select-your-default-workflow,2024-12-04T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/6751ffe3b43a4bffd288f003_Screenshot%202024-12-05%20at%2019.32.43.png,<p>Workflows are now configurable in Adfin! Head to settings to select your default set of reminders for invoices. </p>,"<p id="""">Workflows in Adfin enable you to configure different sequences of reminders, requests and activities for invoices and direct debit mandates. </p><p>‍</p><p id=""""> </p><p id="""">Head to settings &gt; workflows to view and select which reminder workflow you would like to use for one-time payment invoices. Currently you can select from four different options. In the coming weeks you will be able to configure your own custom workflows, and set preferences by customer. </p><p id=""""> </p><p>‍</p><p id="""">You can also view the sequence of activities related to direct debit mandate requests and scheduled invoices - this is currently a fixed sequence but we will be enabling you to customise this too very soon! </p><p>‍</p>",,,https://adfin.com/changelog/view-and-select-your-default-workflow
A better way to manage your recurring invoices and payments,a-better-way-to-manage-your-recurring-invoices-and-payments,2026-03-17T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/69baec1505b74adcb2fac080_Screenshot%202026-03-18%20at%2018.14.11.png,"<p>We’ve introduced a new <strong>Schedules dashboard</strong>, giving you a single place to view, manage, and edit your recurring invoices and payments.</p><p>‍</p><p>You can easily organise your schedules by <strong>customer, status, or type</strong>, and quickly see key details like the <strong>next charge date</strong> and <strong>end date</strong>.</p><p>‍</p><p>Like all Adfin dashboards, you can:</p><ul><li>🔍 Apply filters and sorting</li><li>💾 Save custom views for quick access</li></ul><p>Managing schedules is now simpler too — just select a schedule from the dashboard and follow the steps to make changes.</p><p>‍</p><p>👉 You can find the <strong>Schedules </strong>dashboard in the side menu.</p><p>‍</p>","<p>We’ve introduced a new <strong>Schedules dashboard</strong>, giving you a single place to view, manage, and edit your recurring invoices and payments.</p><p>‍</p><p>You can easily organise your schedules by <strong>customer, status, or type</strong>, and quickly see key details like the <strong>next charge date</strong> and <strong>end date</strong>.</p><p>‍</p><p>Like all Adfin dashboards, you can:</p><ul><li>🔍 Apply filters and sorting</li><li>💾 Save custom views for quick access</li></ul><p>Managing schedules is now simpler too — just select a schedule from the dashboard and follow the steps to make changes.</p><p>‍</p><p>👉 You can find the <strong>Schedules </strong>dashboard in the side menu.</p><p>‍</p>",,,https://adfin.com/changelog/a-better-way-to-manage-your-recurring-invoices-and-payments
A fresh new look for Adfin,a-fresh-new-look-for-adfin,2025-08-26T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/68e54f1868e70569ab782e9b_Screenshot%202025-10-07%20at%2018.33.55.png,"<p id="""">Over the summer ☀️ we’ve been busy giving the Adfin console a makeover. It’s now cleaner, sharper, and easier on the eyes 👀</p><p id="""">‍</p><p id="""">We’ve built everything using our brand-new design system, so it feels smoother and more consistent across the board 💫</p><p>‍</p><p id="""">We hope you love the new look as much as we do! <strong id="""">🎨 </strong></p>","<p id="""">Over the summer ☀️ we’ve been busy giving the Adfin console a makeover. It’s now cleaner, sharper, and easier on the eyes 👀</p><p id="""">‍</p><p id="""">We’ve built everything using our brand-new design system, so it feels smoother and more consistent across the board 💫</p><p id="""">‍</p><p id="""">We hope you love the new look as much as we do! <strong id="""">🎨 </strong></p><p>‍</p>",,,https://adfin.com/changelog/a-fresh-new-look-for-adfin
Accept bank transfer with automated credit control and reconciliation,bank-transfer-with-automated-credit-control-and-reconciliation,2025-10-07T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/68e620eb875007ba88c843f6_Screenshot%202025-10-08%20at%2009.28.59.png,"<p id="""">‍</p><p id="""">You can now<strong id=""""> </strong>accept bank transfers and let Adfin do the hard work for you 💪<br>‍<br>When your client makes a payment, Adfin automatically detects it and updates your records, so chasing stops the moment the money lands 💷<br>‍</p><p id="""">We’ll show your client intermediary bank details right on the payment page, making it simple for them and effortless for you ✨<br><br>👉 Please message us if you would like to be part of the early access group for this feature!</p><p id="""">‍</p>","<p id="""">‍</p><p id="""">You can now accept bank transfers<strong id=""""> </strong>and let Adfin do the hard work for you 💪<br>‍<br>When your client makes a payment, Adfin automatically detects it and updates your records, so chasing stops the moment the money lands 💷<br>‍</p><p id="""">We’ll show your client intermediary bank details right on the payment page, making it simple for them and effortless for you ✨<br><br>👉 Please message us if you would like to be part of the early access group for this feature!</p><p id="""">‍</p>",,,https://adfin.com/changelog/bank-transfer-with-automated-credit-control-and-reconciliation
Add Adfin payment links to your Xero invoices,add-adfin-payment-links-to-your-xero-invoices,2026-02-03T00:00:00Z,Accountants & Bookkeepers,https://cdn.prod.website-files.com/663944fa0339e7ff8f65838d/6982368a0aa0298e98b72750_Screenshot%202026-02-03%20at%2017.55.13.png,"<p>Adfin is now <strong>available as a payment method</strong> in Xero 🎉 Once connected, Adfin payment links are added automatically to your invoices. There’s nothing extra to set up, and nothing to maintain. Just send invoices and get paid faster.</p><p>‍</p><p>Good to know:</p><ul><li>Adfin is automatically added as a payment option on Xero invoices</li><li>No manual configuration is needed after reconnecting</li><li>This makes it even simpler for your clients to use Adfin and Xero</li></ul><p> 👉 Head to your <strong>Adfin dashboard and reconnect Adfin to Xero</strong>. After that, Adfin will appear automatically as a payment method on your Xero invoices.</p>","<p>Adfin is now <strong>available as a payment method</strong> in Xero 🎉 Once connected, Adfin payment links are added automatically to your invoices. There’s nothing extra to set up, and nothing to maintain. Just send invoices and get paid faster.</p><p>‍</p><p>Good to know:</p><ul><li>Adfin is automatically added as a payment option on Xero invoices</li><li>No manual configuration is needed after reconnecting</li><li>This makes it even simpler for your clients to use Adfin and Xero</li></ul><p> 👉 Head to your <strong>Adfin dashboard and reconnect Adfin to Xero</strong>. After that, Adfin will appear automatically as a payment method on your Xero invoices.</p>",,,https://adfin.com/changelog/add-adfin-payment-links-to-your-xero-invoices
Add multi-factor authentication to keep your account secure,add-multi-factor-authentication-to-keep-your-account-secure,2026-01-06T00:00:00Z,Accountants & Bookkeepers,,"<p>‍</p><p>Protect your Adfin account with multi-factor authentication (MFA), adding an extra layer of security at login 🔐</p><p>‍</p><p>When MFA is enabled, all users on your account will be prompted to set up an authentication method the next time they sign in. This helps keep your data safe, even if passwords are compromised.</p><p>‍</p>","<p>‍</p><p>Protect your Adfin account with multi-factor authentication (MFA), adding an extra layer of security at login 🔐</p><p>‍</p><p>When MFA is enabled, all users on your account will be prompted to set up an authentication method the next time they sign in. This helps keep your data safe, even if passwords are compromised.</p><p>‍</p>",,,https://adfin.com/changelog/add-multi-factor-authentication-to-keep-your-account-secure
